sehir,isim,adres
Gaziantep,"
BEST WESTERN Ravanda Hotel
",İnönü Cad. No:178
Gaziantep,"
Met Gold Hotel Gaziantep
",Suburcu Caddesi Camurcu Sokak No 1
Gaziantep,"
Elit Class Residence Apart
",Sani Konukoglu Bul. 79021 Sk No 65 Sehitkamil
Şahinbey,"
Kaleli Hotel
",Hürriyet Cad. Güzelce Sok. No:50
Şahinbey,"
Tilmen Hotel
",Inonu Cad. No 168
Gaziantep,"
Safir Otel
",Sani Konukoglu BulvarI No : 38 ( Ipekyolu ) PK: 27500 Sehitkamil
Gaziantep,"
Belkıs Han
","Bey Mah. Kayacık Ara Sok. No:16 Şahinbey Merkez, Şahinbey"
Gaziantep,"
Sirehan Hotel
",Ismet Pasa Mah. Eski Belediye Cad. No:1 Sahinbey
Gaziantep,"
Grand Otel Gaziantep
",Ali Fuat Cebesoy Bulvari No: 32
Gaziantep,"
Divan Suites Gaziantep
",Mucahitler Mah. Sani Konukoglu Bulvari No:90 Sehitkamil
Gaziantep,"
Tugcan Hotel
",Ataturk Bulvari No:34
Gaziantep,"
Hotel Novotel Gaziantep
","Yaprak Mah. İstasyon Cad. No:80/A Alleben, Şehitkamil"
Gaziantep,"
Divan Hotel Gaziantep
",Mucahitler Mahallesi Sani Konukoglu Bulvari No: 92/A
Gaziantep,"
Dedeman Park Gaziantep
","Mucahitler Mahallesi 9, Sokak No: 30 Sehitkamil"
Gaziantep,"
İbis Otel Gaziantep
",Yaprak Mah. İstasyon Cad. No:76/A Şehitkamil Merkez
Eskişehir,"
FRZ Konak Hotel
",Orta Mahalle Mucellit Sok. No:19 OdunpazarI
Eskişehir,"
Cinas Hotel
",Sevdik Sk. No. 16
Eskişehir,"
Has Otel Termal
",Hamam Yolu Cad. No:7 Eskişehir Merkez
Eskişehir,"
Konuk Hotel
",Istiklal Mah. Konuk Sk. No: 30 Odunpazari
Eskişehir,"
Han Royal Hotel
",Dede Mah. Kalender Sok. No 5
Eskişehir,"
Arslanli Konak Otel
",Pasa Mh.Kemal Zeytinoglu Cad. No:33
Eskişehir,"
Divan Otel
","Sivrihisar Cd. No:3, koprubasi"
Eskişehir,"
SRF Hotel
",Istiklal Mah Resadiye Esnafi Sokak No 39
Eskişehir,"
The Black Eskisehir
",Cumhuriyet Mahallesi Isbulma Sokak No. 32
Eskişehir,"
Uysal Termal Hotel
",Asarcıklı Cad. No 7
Eskişehir,"
Zin Hotel Eskisehir
",Sivrihisar Caddesi No 102
Eskişehir,"
Sahin Park Hotel
",Asarcikli Cad. No:80
Eskişehir,"
Saffron Eskisehir
",Sivrihisar Cad. No:119
Eskişehir,"
Beyoglu Palace Termal Otel
",İstiklal Mah. Kabaağaç Sok. No: 7
Eskişehir,"
Es Albatros Otel
","Yeni Bağlar Mah. Gün Sok. No:1 Tepebaşı, Tepebaşı"
Eskişehir,"
Sor Hotel Eskisehir
",Yenibaglar Mah. Universite Cd. No:77
Eskişehir,"
Turunc Eskisehir Hotel
",Buyukdere Mah. Bayraktepe Sok. No: 4
Eskişehir,"
Gurgenci Apart Hotel
",Muttalip Cad.No 2
Eskişehir,"
Soyic Hotel
",Yunus Emre Cad. No 95
Eskişehir,"
Atışkan Hotel
",Yunusemre Cad No 87
Eskişehir,"
Madame Tadia Otel
",Hosnudiye mah Safiyet Sok No: 55 ( Tren Garı karşısı )
Eskişehir,"
Eskisehir Buyuk Hotel
",Sivrihisar Cad.No: 40
Eskişehir,"
Grand Namlı Otel
",Eskibağlar Mah. Üniversite Cad. No:14
Eskişehir,"
Abacı Konak Otel
",Akarbaşı Mah. Türkmen Hoca Sok. No:29
Eskişehir,"
The Merlot Hotel Eskisehir
",Hoşnudiye Mah. 738 Sok. No:2
Eskişehir,"
Bello Butik Otel
",Ihsaniye Mahallesi
Eskişehir,"
Divan Express Eskişehir
",Hosnudiye Mah. 738. Sk. No:7 Tepebasi Eskisehir
Eskişehir,"
Anemon Hotel Eskisehir
",Camlica Mahallesi Mustafa Pasa Sokak No:61
Eskişehir,"
Roof Garden Hotel
",Buyukdere Mh. Sarilar Sk. No. 4
Eskişehir,"
Rixos Eskişehir
","Dede Mahallesi, Haktanir Sokak.No:1- Bademlik Odunpazari"
Eskişehir,"
İbis Hotel
",Hoşnudiye Mah. Siloönü Sok. No:5 Eskişehir Merkez
Eskişehir,"
Senna City Hotel
",İstiklal Mahallesi Adalar Sokak No:1
Erzurum,"
Dedeman Palandöken Ski Lodge
",Palandöken Kayak Merkezi İbrahim Polat Cad. Palandöken
Erzurum,"
Hotel İpek
",Topçuoğlu Mah. İstasyon Cad. Bezölçen Sok. No:38
Erzurum,"
Palan Otel
","İbrahim Polat Cad. Palandöken, Palandöken"
Erzurum,"
Xanadu Snow White
",Palandoken Kayak Merkezi
Erzurum,"
Hotel Kervansaray
",Kazim Karabekir Caddesi
Erzurum,"
Büyük Akçay Otel
",Cumhuriyet Cad. No:8 Merkez
Erzurum,"
Hotel Yesil Artvin
",Alipasa Mahallesi Ibrahim Hakki Caddesi No:2
Erzurum,"
Esadaş Otel
",Cumhuriyet Cad. No:7/A Erzurum Merkez
Erzurum,"
Kral Otel
",Erzincan Kapı Cad. No:18 Erzurum Merkez
Erzurum,"
Otel Amiller
",Kazım Karabekir Cad. No:27 Erzurum Merkez
Erzurum,"
Yeni Ornek Hotel
",Kazım Karabekir Cad. No 29
Erzurum,"
Otel Dilaver
",Aşağı Mumcu Cad. Pelit Meydanı No:59 Erzurum Merkez
Erzurum,"
Hekimoğlu Otel
",Gez Mah. Kazım Karabekir Cad. No:66 Erzurum Merkez
Erzurum,"
Rafo Hotel
",Asagi Mumcu Mah.Milletbahce Sok. No 25
Diyarbakır,"
Hotel Park Vadi
",Hotel Park Vadi Inönü Cad. No: 1 Dörtyol Dagkapi
Diyarbakır,"
Hotel Birkent
",Inonu Caddesi Nr. 26
Diyarbakır,"
Grand Guler Otel
","13, Kibris Caddesi"
Diyarbakır,"
Hotel Kaya
",Inonu Cad. No: 2
Diyarbakır,"
Mitannia Regency Hotel
",Prof.Dr.Selahattin Yazicioglu Cad. No:2/1
Diyarbakır,"
Malabadi Otel
",Urfa Yolu 1. Km. Diyarbakır Merkez
Diyarbakır,"
Madi Hotel
",Dagkapi Dortyol Inonu Cad. No: 1
Diyarbakır,"
Miroğlu Hotel
","Elazığ Cad. No:13 Dağkapı, Sur"
Diyarbakır,"
Turistik Otel
",Ziya Gökalp Bulv. No 7 Diyarbakır Merkez
Diyarbakır,"
Diyarbakir Prestige Hotel
",Gevran Cad. No. 2 Ofis
Diyarbakır,"
Liv Suit Hotel
",Huzurevleri Mahallesi Urfa Bulvarı No. 38/1
Diyarbakır,"
Derya Hotel
",Inonu Cad. No.13
Diyarbakır,"
Dedeman Diyarbakır
",Elazığ Cad. Diyarbakır Merkez
Diyarbakır,"
Hotel Seker
",Inonu Caddesi No 19
Diyarbakır,"
Surkent Otel
",Dağkapı Mah. Hz. Süleyman Cad. No:19 Diyarbakır Merkez
Diyarbakır,"
Liluz Hotel
",Hz. Suleyman Cd. No:8
Diyarbakır,"
Hilton Garden Inn Diyarbakir
",Yenisehir Mah. Dr. Seref Inaloz Cad
Diyarbakır,"
Dies Hotel
",Ali Emri 6. Sok. NO:11/A
Bursa,"
Huzur Termal Otel
",Çekirge Mah. 1 Murat Cad. No. 31
Bursa,"
Asmin Hotel Bursa
",Aktar Hussam mah. Ahmet Hamdi TanpInar cad. No:13 Osmangazi/Bursa
Bursa,"
Uslan Hotel
",Gelisim Bolgesi Uludag
Bursa,"
Hotel Kirci
",Cekirge Cd. No 21
Bursa,"
Genç Yazıcı Otel
",1. Gelişim Oteller Bölgesi
Bursa,"
Black Cloud Hotel
",Ulubatl_ Hasan Bulvar_ No : 33 Osmangazi
Bursa,"
Grand Yazıcı Hotel
",1. Gelişim Bölgesi Uludağ
Bursa,"
Hotel Buyukyildiz
",Uludag Caddesi no 16
Bursa,"
Atlas Hotel
",Hamamlar Cad. No:29
Bursa,"
Ugur Otel
",Tahtakale Mahallesi KazIm Baykal
Bursa,"
Camlibel Hotel
",Tahtakale Mahallesi Inebey Caddesi No: 71
Bursa,"
Adapalas Otel
",1. Murat Cad. No:21
Bursa,"
Hotel Gunes
",Inebey Caddesi No.75
Bursa,"
Onuncukoy Hotel
",Meydancik Mah. Yesilalan Sok. No: 1
Osmangazi,"
Grand Heykel Hotel
",Ressam Sefik Bursali Cd. No:30
Bursa,"
Hotel Bursa City
",Sehrekustu Mah Durak Cad No: 15 Osmangazi
Bursa,"
Oylat Kaplıcaları
",sinanbey mah.murat cad no:53/b inegöl
Bursa,"
Araz Apart
",Cekirge Mah. Kupluce Sokak No:5
Bursa,"
Gorukle Oruc Hotel & Spa
",Dumlupinar Mahallesi Iskele Sokak No. 13
Bursa,"
Otanik Hotel
","Soğanlı, Bursa"
Bursa,"
Hotel Gönlüferah City
",1. Murat Cad. No: 20
Bursa,"
Kadi Konagi Hotel
",Cekirge Mh. Cami Araligi Sk. No:2
Bursa,"
Adranos Hotel
",Ucevler Mah. Aysel Sk. No:12 Nilufer (Ataevler Metro Istasyonu cikisi)
Bursa,"
Hotel Anatolia
",Zubeyde Hanim Caddesi
Bursa,"
Kervansaray Termal Hotel
","Çekirge Meydanı Çekirge, Osmangazi"
Bursa,"
Beceren Otel
",1. Oteller Bolgesi
Bursa,"
Kardes Hotel
",Ahmetpasa mah. Nedim Sokak No:17/E Osmangazi
Bursa,"
Central Hotel Bursa
",Ulubatli Hasan Bulvari 55
Bursa,"
Safran Hotel
",Ortapazar Cadessi
Bursa,"
Boyugüzel Termal Hotel
",Uludağ Cad. Selvi Sok. No:10
Bursa,"
Otantik Club Hotel
",Otantik Club Hotel Botanik Parkı
Bursa,"
Burcman Hotel
",Uluyol Kibris sehitleri Cad. No:16
Bursa,"
Baia Hotel Bursa
",Yeni Yalova Yolu 9 Km
Bursa,"
Gold Majesty Hotel
",Konak Mahallesi Lefkose Caddesi No:7 Nilufer/Bursa
Bursa,"
Tuğçu Otel
","Celal Bayar Cad. No:195, Osmangazi Merkez"
Bursa,"
Gönlüferah Otel
",1. Murat Cad. No:22
Bursa,"
Bursa Palas Hotel
",Cakirhamam Tahtakale Mahallesi Okul Sokak 13/A
Bursa,"
Hotel Çelik Palas
",Çekirge Cad. No:79
Bursa,"
Boyuguzel Termal Hotel
",Uludag Caddesi selvi Sokak no:10
Bursa,"
Marigold Termal & Spa Hotel
",1 Murat Cad. No.47
Bursa,"
Tiara Termal Hotel
","Cekirge Mah. 1, Murat Cad. No: 5"
Bursa,"
Sheraton Bursa Hotel
",Odunluk Mahallesi Akpınar Caddesi
Bursa,"
Almira Hotel
",Ulubatli Hasan Bulvar No:5
Bursa,"
Divan Bursa
",Kükürtlü Mah. Dr. Rüştü Burlu Cad. No:11
Bursa,"
Aloft
","Odunluk Mahallesi, Akpinar Caddesi"
Bursa,"
İbis Hotel
",Altinova Mah Fuar Cad No 67
Edirne,"
Damla Pension
",Sabuni Mah. Sabuni Cami Sok. No: 1
İğneada,"
Pansiyon Karaca
","Atatürk Cad. No:8 İğneada, Demirköy"
Yalova,"
Yalova Uygulama Oteli
",Sehit Omer Fadali Cad.
Sapanca,"
Sarayli Butik Otel
",RÜSTEMPAŞA MAH İPEKYOLU CAD MELİSA SOK N 3
Çanakkale İli Seyahat,"
Kolin Hotel
","Boğazkent Mevki Kepez, Çanakkale Merkez"
Sapanca,"
Royal Sapanca Otel
",Fatih Mahallesi Fatih Caddesi No 71
Ankara,"
Ibis Ankara Airport
",Balikhisar Mah Ozal Bulvari
Çankırı,"
Cankiri Koc Hotel
",Cankiri Ankara Karayolu 2 KM
Tokat,"
Yeni Cinar Oteli
",Gazi Osman Pasa Bulv. No 167
Çavuşin,"
Fairyland Cave Hotel
",Vadiler sok. 14
Çıftehan,"
Celikhan Thermal Hotel & Spa
",Ciftehan
Karaman,"
Bayrakçı Otel
",Hacı Celal Mah. Özcan Genç Cad. No:4 Karaman Merkez
Bingol,"
Hotel Sarioglu
",Genç Cad. No 3 Bingöl Merkez
Doğubeyazıt,"
İsfahan Hotel
",Emniyet Cad. No:26
Yerevan Özel Konaklamalar,"
Best Hostel
",Leningradyan 6
Yerevan Özel Konaklamalar,"
Armenia Hostel
","Moldovakan St., 29/6-3"
Yerevan Oda ve Kahvaltı / Pansiyon,"
Three Jugs
",#123 Jrvezh district
Yerevan Otelleri,"
Diamond House
","Arami st., 86"
Yerevan Özel Konaklamalar,"
Penthouse Hotel & Hostel
","Koryun 5, ap. 33a"
Yerevan Oda ve Kahvaltı / Pansiyon,"
Anahit Stepanyan's B&B
",Sayat-Nova Ave. 5/25
Iğdır,"
Otel Dedemin
",Bağlar Mah. Centler Sok. No 33 Iğdır Merkez
Yerevan Otelleri,"
Best Eastern Hotel Valensia
",40 Myasnikyan avenue
Yerevan Otelleri,"
Hotel Regineh
",Norki Ayginer St
Yerevan Oda ve Kahvaltı / Pansiyon,"
Comfort House Hotel
",Heratsi 16/4
Yerevan Özel Konaklamalar,"
Center Hostel
",4 Vardanants Street
Iğdır,"
Öz Olimpia Otel
",Dörtyol Mevki Evren Paşa Cad. No:13 Iğdır Merkez
Yerevan Otelleri,"
BEST WESTERN Congress Hotel
",1 Italy Street
Yerevan Özel Konaklamalar,"
Kantar
","Deghatan st., 10"
Yerevan Otelleri,"
Imperial Palace Hotel
",Koryun Street 23
Yerevan Otelleri,"
Latar Hotel
","Silikyan District, 5th St., 58"
Yerevan Otelleri,"
Hotel Artsakh
",Sevan Street 116
Iğdır,"
Hotel Imparator
",Igdir Girisi DSI Karsisi
Iğdır,"
Hotel Star Royal
",Cumhuriyet mah. Av Ibrahim Bozyel Cd. No: 7
Sarıkamış,"
Bildik Hotel
",Gaziler Kolordu Cad. No:34
Sarıkamış,"
Dolina Sarıkamış Otel
",Inonu Mah. Bayrak Tepe Kayak Merkezi No: 28
Agri,"
Otel Hatemoglu
",Cumhuriyet Caddesi 1703 Sokak No : 20/A
Doğubeyazıt,"
Star Apart Hotel
",M. Mustafa Alpdogan Cad.
Agri,"
Grand Cenas Hotel
",Erzurum Yolu Uzeri
Doğubeyazıt,"
Golden Hill Hotel
",Cevre Yolu Uzeri Dogubeyazit
Agri,"
Kilicaslan Otel
",Kagizman Cad. No:210
Doğubeyazıt,"
Simer Hotel Dogubeyazit
",Tepe Bag Mevki Iran Yolu 3 Km
Doğubeyazıt,"
Hotel Ararat
",Belediye Cad. No:24
Doğubeyazıt,"
Zümrüt Otel
",İstasyon Cad. Toplu İş Hanı Muş Merkez
Bingol,"
Grand Berti Otel
",Saray Mah. Elazig-Mus Yolu Cad. No 100
Karaman,"
Aygun Hotel
",Ahi Osman Mah. 36. Sok. No 6/1
Karaman,"
Nadir Otel
",Ahi Osman Mah 31. Sok. No: 10
Karaman,"
Grand Mesut Hotel
",Ataturk Mah. Konya yolu 1. Km. No:28
Ermenek,"
Selcuklu Otel
",Seyran Mah. Ahmet Kelesoglu Cad.
Karaman,"
Demosan Otel
",Yesilada Mahmut Cad. No 107
Nevşehir,"
Viva Otel Kapadokya
",Yeni Mah. Kayseri Cad. No: 55/1
Nevşehir,"
Explorer Cave Hotel
",Aydınlı Mah. Kevenci Sok. No:16 Goreme
Nevşehir,"
The Loop
",112. sokak no :46
Nevşehir,"
1001 Gece Hotel
",Tekeli Mah. No 28 Uchisar
Göreme,"
Imperial Cave Hotel
","Gaferli Mahallesi, Aydinkiragi Mevki, No:34"
Nevşehir,"
Safir Hotel
",Yeni Mahalle Damat Ibrahim Pasa Blv. No: 27
Göreme,"
Kookaburra Pansiyon Motel
",Orta mah. Konak Sok. No:10
Göreme,"
Melek Cave Hotel
",Gaferli Mah. Cevizler Sok. No 28
Göreme,"
göreme city hotel
","Avcilar Mahallesi, Pansiyon Sokak No:3"
Çamardı,"
Aladaglar Camping
",PK 16 Cukurbag Koyu MartI Mahallesi
Göreme,"
Castle Cave House
",Haci Ismail Efendi Sokak Gaferli Mahallesi no 24
Göreme,"
Osmanbey Cave House
",Goreme Kasabasi Ali Cavus Sokak No. 5
Göreme,"
Oriental Cave Suites
",Roma Kalesi ArkasI No:7
Niğde,"
Nahita Hotel
",Emin Erişingil Cad. No19 Niğde Merkez
Ayvalı,"
Gamirasu Cave Hotel
", 
Niğde,"
Grand Hotel Niğde
",Cumhuriyet Meydani
Çamardı,"
Ozsafak Pension
",Çamardı Çukurbag Köyü
Niğde,"
Hotel Celikhan
","Ciftehan, Ulukisla"
Nevşehir,"
Kapor Organik çiftlik Evi
",Bayir mah.orta yol mevki koybagi
Nevşehir,"
Gaferli Stone House
",Gaferli mah. Haci Ismail Efendi Sok. no:40
Göreme,"
Local Cave House Hotel
",Gaferli Mah. Cevizler Sok. No 11
Nevşehir,"
Goreme Camping
",AcIk hava muze yolu uzeri 300. metre goreme / merkez
Göreme,"
Cappadocia Tourist Hotel
",Goreme Acik Hava Muzesi Yolu
Nevşehir,"
Unfa Hotel
",Sehit Ali Guven Cad. No:12 Derinkuyu
Nevşehir,"
Grand Ozturk Otel
",Yeni Mah d.i.p.Bulvari No.29
Nevşehir,"
Dedeman Kapadokya
",Ürgüp Yolu 2 Km
Nevşehir,"
Zumrut Hotel
",Eski Sanayi Meydani Yeni Postahane Karsisi No: 7 Merkez
Nevşehir,"
Altinoz Hotel
",Ragip Uner Cad. No:23
Nevşehir,"
Hotel Business Yatt
",Saatci Hocacaddesi no. 11
Nevşehir,"
Dinler Hotels - Nevşehir
",Ürgüp Yolu 2. km
Nevşehir,"
Kapadokya Hill Boutique Hotel
",Afatevler Mahallesi Nigde Caddesi No1 Gore KasabasI Nevsehir
Güzelyurt,"
AKINCI KONAGI
",akrapol sokak
Güzelyurt,"
Kadir's Antique Gelveri House
",Yukari Mahalle Aksaray Cd. No: 37
Aksaray,"
Otel Ay
",Küçük Langa Cad. Valide Cami Sok. No:30
Aksaray,"
Gözde Otel
",Selim Paşa Sok. No:40
Ihlara,"
Ihlara Star Restaurant & Pansion Camping
",Ihlara Kasabası Aksaray
Ihlara,"
Akar Pension
",Ihlara vadisi Guzelyurt
Aksaray,"
Ozbek Hotel
","Mustafa Kemal Paşa Cad. Tiryaki Hasan Paşa Sok. No 1, Fatih"
Aksaray,"
Hotel Kanada
",İnebey Mah. Küçüklanga Cad. No:4
Aksaray,"
Abaylar Otel
",Karasu Mevkii Petrol Ofisi Istasyonu
Güzelyurt,"
Cappadocia Mayaoglu Hotel
",Pr. Dr. Necdet Saglam Cad. Yukari Mah. Santral sok.No : 7
Aksaray,"
Örün Otel
",Namık Kemal Cad. Abdullah Çavuş Sok. No:23
Aksaray,"
Flamingo Hotel
","Namık Kemal Cad. No 4, Fatih"
Aksaray,"
Basra Otel
",Mustafa Kemal Paşa Cad. Sait Efendi Sok. No:5
Aksaray,"
Hotel Akyıldız
","Mustafa Kemal Paşa Cad. Langa Bostanları Sok. No:6 Topkapı, Fatih"
Ihlara,"
Ihlara Termal Tatil Koyu
",Guzelyurt Ilcesi Yaprakhisar Koyu Ziga Mevkii
Aksaray,"
Grand Saatçioğlu Otel
",Turizm Cad. Aksaray Merkez
Aksaray,"
Fuar Hotel
",Namık Kemal Cad. Küçük Langa Aralığı No:1
Aksaray,"
Agacli Tesisleri Ihlara Hotel
",Ankara Adana Asfalti E 90 karayolu Uzeri Nevsehir Yol Kavsagi
Aksaray,"
Kuzucular Park Hotel
",Taşpazar Mahallesi 868.Sokak No:68 (Belediye Tiyatro Salonu Yanı)
Aksaray,"
Grand Altuntaş Hotel
",Zafer Mah. Ihlara Cad. No:150
Tokat,"
tokat konağı otel ve restauran
",ali paşa mah.mithat paşa cad. valilik yanı no:3 tokat /merkez
Tokat,"
Cavusoglu Tower Hotel
",G.O.P. Bulv. Tokat Plaza Is Merkezi No: 172/A
Sivas,"
Sultan Hotel Sivas
",Eski Belediye Sok 18
Sivas,"
Otel Fatih
",Kurşunlu Cad. No:22 Sivas Merkez
Sivas,"
Pasabey Hotel
",Pulur Mh. Arapseyh Cd. No 12
Sivas,"
Otel Divan
",Kepçeli Mevki Atatürk Cad. No:196 Sivas Merkez
Sivas,"
Köşk Otel
",Atatürk Caddesi No: 7
Sivas,"
Sivas Büyük Hotel
",Örtülüpınar Mah. İstasyon Cad. Sivas Merkez
Sivas,"
Hotel Nevv
",Ataturk Cad. No 96
Sivas,"
Eretna Hotel
",Atatürk Caddesi No:36
Sivas,"
Revag Palace Hotel
",Ataturk cad. Kepceli mevkii No:91
Şereflikoçhisar,"
Yıldırım Hotel
",Kale Mah.Ankara Cad. No:5
Göreme,"
Suhan Park
",Orta Mah. Uzun Dere Sok. No:25
Nevşehir,"
Peri Tower Hotel
",Adnan Menderes Bulvari Otel cad. No. 13 Nar Kasabasi
Gülşehir,"
Kapadokya Kartal Hotel
",CUMHURIYET MH. UMIT SK. NO:50
Uçhisar,"
Kapadokya Lodge Hotel
",Ürgüp Yolu Uçhisar Yol Kavşağı Uçhisar
Hacıbektaş,"
Evrim Hotel
",Nevsehir Cad. Ataturk Bulvari Terminal Karsisi
Kırşehir,"
Grand Hotel Terme
",Terme Cd 132
Kırşehir,"
Citak Resort Hotel
",Yenice Mahalle Terme Caddesi No: 74
Kırşehir,"
Çoşkun Tuna Otel
",Aşık Paşa Mah. No:33 Kırşehir Merkez
Kırşehir,"
Cingöz Otel
",Ahi Evran Mah. M. Ali Yapıcı Bulv. No:22/A
Kırşehir,"
Temur Termal Otel
",Temur Termal Otel Kuşdilli Mah. Yıldırım Beyazit Cad. No:5
Sivas,"
Buruciye Hotel
",Eskikale Mah. Hoca Imam Sok. No:18 Merkez
Nevşehir,"
Dadak Thermal Spa & Wellness Hotel
",Emek Mahallesi Kaplica Caddesi 198
Kırşehir,"
Makissos Thermal & SPA Hotel
",Baglar Basi Mah. Sehit Kerem Aydin Cd. No: 49/51
Narlık,"
Durak otel
",Corum-Ankara D785 Karayolu 35.km/Corum
Boğazkale,"
Baskent Demiralan Hotel
",Hattusas Mah. Yazilikaya Yolu uzeri No:45 Bogazkale
Yozgat,"
Saffron Hotel
",Sivas Karayolu 13. Km. Yozgat Merkez
Yozgat,"
Galata Çamlık Hotel
",Develik Mah. Çamlık Milli Parkı Yozgat Merkez
Yozgat,"
Grand Eser Otel
",Şeyh Osman Mah. Adnan Menderes Bulv. No:85 Yozgat Merkez
Sarikaya,"
Mehmetogullari Thermal Resort
",Bahcelievler Mah. 287. Sk. No: 10
Yozgat,"
Hitit Hotel
",Sakarya Cad. Cumhuriyet Meydani Karsisi No:5
Çankırı,"
Otel Sim
",Atatürk Bulv. No 42 Çankırı Merkez
Ilgaz,"
Ilgaz Derbent Hotel
",Ilgaz Dagi Sehitlik Mevkii Cankiri
Çavundur,"
Thermal Kurşunlu Hotel
","E-80 Karayolu Jeotermal Kaplıcaları Çavundur Köyü, Kurşunlu"
Sapanca,"
Green Blue Park
",Hasanpasa Mah. Aktar Sokak No:5
İznik,"
Seyir Butik Pansiyon
",Mustafa Kemalpasa M. KIlIcaslan Cad. No:5
İznik,"
Iznik Hotel
",Selcuk Mah. Gol Sahil Yolu No. 22
İznik,"
Grand Hotel Belekoma
",Gol Sahil Yolu Cd. No:8
Sapanca,"
Uğurlubey Butik Dağ Oteli
","DibektasI Mahallesi, Yayla Caddesi Yasar Sokak No:2 Kurtkoy Sapanca"
İnegöl,"
Royal Hotel Inegol
","Kemalpasa Mah, Ataturk Blv, No 54/E"
Bilecik,"
Kent Otel
",Merkez No 2 Bilecik Merkez
Çanakkale İli Seyahat,"
Konuk Hostel
",Ismet Pasa Mah. Hasan Mevsuf Sok. No: 19
Çanakkale İli Seyahat,"
Sonef House Hotel
",Cumhuriyet Mah. Cınarcarsı Cad. No:4
Çanakkale İli Seyahat,"
Koc Termal Tesisleri
","Koc Termal Tesisleri, Kulculer Koyu Yani"
Çanakkale İli Seyahat,"
Udi Suite Hotel
",Ismetpasa Mah. Tugce Sok.
Çanakkale İli Seyahat,"
Dört Mevsim Suit Otel
",Barbaros Mah. Binboğa Sok No: 1
Çanakkale İli Seyahat,"
TJ's Hostel
",Kemal Pasa Mah. Cumhuriyet Cad. No 5/A
Çanakkale İli Seyahat,"
Cetinkaya Hotel
",Kemalpasa Mah. Kizilay Sok. 18-19
Çanakkale İli Seyahat,"
Olive Odore Palace hotel
",Kucukkuyu
Çanakkale İli Seyahat,"
Parion House Hotel
","Eski Hukumet Sokak No:2,"
Çanakkale İli Seyahat,"
Hotel Des Etrangers
",Kemal Pasa Mah. Yali Cad. No:25 D:27 Cevatpasa
Çanakkale İli Seyahat,"
Konak Otel
",Fetvane Sok. No:12 Çanakkale Merkez
Çanakkale İli Seyahat,"
Troy Otel
",Kadırga Behramkale Köyü
Çanakkale İli Seyahat,"
Stalu Otel
",Yesil Yurt Koyu No 221
Çanakkale İli Seyahat,"
Kazdağı Termal Resort & Spa
","Bardakçılar Köyü, Çan"
Çanakkale İli Seyahat,"
Kale Motel
",Fatih Mah. Kaleköy Mevki Barbaros Cad. No. 36
Çanakkale İli Seyahat,"
Aşkın Otel
","İsmet Paşa Mah. Hasan Mevsut Sok. No:53 Cevatpaşa, Çanakkale Merkez"
Çanakkale İli Seyahat,"
Aqua Boss Hotel
",İsmet Paşa Mah. İstiklal Cad. No.91
Çanakkale İli Seyahat,"
Dedeoğlu Otel
",Kayalar Alti Mevkii Kucukkuyu Sahil Yolu Uzeri Ayvacik Canakkale
Çanakkale İli Seyahat,"
Ceylanoglu Gladius
",Kayalar Alti Mevkii Kucukkuyu
Çanakkale İli Seyahat,"
Anafartalar Hotel
",İskele Meydanı Çanakkale Merkez
Çanakkale İli Seyahat,"
Segmen Hotel
",Devlet Yolu No.56
Çanakkale İli Seyahat,"
Efes Otel
",Kemal Paşa Mah. Talat Orhan Şalcıoğlu Sok. No:13 Çanakkale Merkez
Çanakkale İli Seyahat,"
İda Kale Resort Otel
",Mola Cad. No:50 Çanakkale Merkez
Çanakkale İli Seyahat,"
Can Termal Hotel
",Can Belediyesi Termal Otel&Spa 17400 Can
Çanakkale İli Seyahat,"
Aristo Motel
",Koyunevi Köyü Sokakağzi Mevkii
Çanakkale İli Seyahat,"
Akol Otel
",Cevat Paşa Mah. Kordon Boyu Kayserili Ahmet Paşa Cad. Çanakkale Merkez
Çanakkale İli Seyahat,"
Iris Hotel
",Mola Caddesi No:68
Çanakkale İli Seyahat,"
Etap Altinel Canakkale
",GuzelyalI Beldesi
Çanakkale İli Seyahat,"
Canak Hotel
",Cumhuriyet Meydanı Dibek Sok. No 1
Çanakkale İli Seyahat,"
Parion Hotel
",Demircioglu Cad. No. 132
Çanakkale İli Seyahat,"
Hotel Limani
",Kemal Pasa Mah. Yali Cad. No12
Çanakkale İli Seyahat,"
Tusan Hotel
","Güzelyalı Köyü İntepe, Çanakkale Merkez"
Çanakkale İli Seyahat,"
Hotel Artur
",Cumhuriyet Meydanı No:28 Çanakkale Merkez
Çanakkale İli Seyahat,"
Kervansaray Canakkale Hotel
",Kemal Paşa Mah. Fetvane Sok. No:13 Çanakkale Merkez
Çanakkale İli Seyahat,"
Buyuk Truva Oteli
",Cevat Paşa Mah. Mehmet Akif Ersoy Cad. No 2
Çanakkale İli Seyahat,"
Anzac Hotel
",Saat Kulesi Meydani 8
Çanakkale İli Seyahat,"
Hotel Helen Park
",Kemalpasa Mah. Tekke Sokak #10
Çanakkale İli Seyahat,"
Hotel Helen
",Kemalpasa Mah. Cumhuriyet Meydani #57
Çanakkale İli Seyahat,"
Grand Anzac Hotel
",Kemalyeri St. No:11
Kuzuluk,"
Kuzuluk Termal Otel
",Kuzuluk-Beldesi Akyazi
Adapazarı,"
Limapark Hotel
",Istiklal Mah 2 Cad No 65
