sehir,isim,ilce,adres
Mardin,"
Erdoba Evleri
",Mardin Otelleri,1 Cadde No 135
Midyat,"
Otel Kasr-ı Nehroz
",Midyat Otelleri,Işıklar Mah. 219. Sok. No:14 Midyat Merkez
Midyat,"
Shmayaa Hotel
",Midyat Otelleri,Akçakaya Mah. Kışla Cad. 126 Sok. No12
Mardin,"
Maridin Butik Otel
",Mardin Otelleri,Diyarbakir Kapi Mah.1 Cad. No:455
Mardin,"
İzala Hotel
",Mardin Otelleri,Medrese mahallesi 1. cadde no:156
Mardin,"
Artuklu Kervansarayı
",Mardin Otelleri,"Savurkapı Mah. 1. Cad. No:70 Savurkapı, Mardin Merkez"
Mardin,"
Erdoba Elegance Convention Center
",Mardin Otelleri,Yalımkoy Mevkii 3 km
Mardin,"
Reyhani Kasrı Hotel
",Mardin Otelleri,Teker Mah. 1. Cad. No:163 Mardin Merkez
Balıkesir İli,"
The Marmara Hotel
",Marmara Adası,Cumhuriyet Mah. Kole Mevki
Tekirdağ,"
Poyraz Butik Hotel
",Tekirdağ Oda ve Kahvaltı / Pansiyon,"Baglarderesi Mevkii, Kumsal sokak, yeni Camii karsisi, Sahil Marmara Ereglisi / Tekirdag"
Yeniciftlik,"
Hotel Ennis Inn
",Yeniciftlik Oda ve Kahvaltı / Pansiyon,"Sahil Yolu Mevkii, Millet Cad. No 303"
Tekirdağ,"
Sekerkamp
",Tekirdağ Özel Konaklamalar,Mecidiyekoy Sokak No: 10 Gazioglu Sekerkamp
Tekirdağ,"
Hotel 59
",Tekirdağ Oda ve Kahvaltı / Pansiyon,"Cengiz Topel Meydani, Muratli Cad. Ahmet Bey Bayiri No:2"
Tekirdağ,"
Rodosto Hotel
",Tekirdağ Oda ve Kahvaltı / Pansiyon,Iskele Cad. No 34
Çorlu,"
Hotel Sefa 2
",Çorlu Oda ve Kahvaltı / Pansiyon,Kazimiye Mah. Salih Omurtak Cad. No: 44 (Total Benzinlik Karsisi)
Tekirdağ,"
Yayoba Hotel
",Tekirdağ Oda ve Kahvaltı / Pansiyon,Malkara Yolu 4 KmTekirdağ Merkez
Balıkesir İli,"
Ayberk Otel
",Marmara Adası,"Deniz Mah. Atatürk Cad. Avşa, Marmara"
Kazandere,"
Ogzala Ciftlik Evi
",Kazandere Oda ve Kahvaltı / Pansiyon,Servetiye Cami Koyu Kirazpinar Mevkii No:37 Yuvacik Basiskele
Balıkesir İli,"
Hotel Arteka
",Erdek,Çuğra Mevki Ali Haydar Sarı Sahil Parkı Erdek Merkez
Balıkesir İli,"
Otel Ada Palas
",Marmara Adası,Okullar Mahallesi Hükümet Caddesi No:5/1
Çorlu,"
Elit Otel
",Çorlu Otelleri,"Muhittin Mah. Hacı Salih Sok. No:6 Sanayi, Çorlu"
Şarköy,"
Coşkun Otel
",Şarköy Otelleri,Istiklal Mah. Ogr. Faruk Faruk Dogan Sok. No:27
Çorlu,"
Hotel Sefa 1
",Çorlu Otelleri,Muhittin Mah. Salih Omurtak Cad. No: 43 Halk Egitim Mrk
Çerkezköy,"
Pasha Hotel Cerkezkoy
",Çerkezköy Otelleri,District Fevzipasa Guvenis Street W/S/H Road No: 80
Çorlu,"
Silverside Hotel
",Çorlu Otelleri,Balagazlı Mevkii Havaalanı Karşısı
Çerkezköy,"
City Hotel
",Çerkezköy Otelleri,Ataturk Caddesi No 97
Çerkezköy,"
Business Suite Hotel
",Çerkezköy Otelleri,"Ismet Pasa Mah. Bulent Ecevit, Cd. 33 Sk. No 3"
Çorlu,"
Shilla Hotel
",Çorlu Otelleri,Corlu Cerkezkoy Yolu Velimese Istasyonu Karsisi 1. Cad. No: 1
Çerkezköy,"
Golden Palas Hotel
",Çerkezköy Otelleri,G.O. Pasa Mah. Ataturk Cad. No 121 (Across Kipa) Cerkezko
Çerkezköy,"
Gabrali Otel
",Çerkezköy Otelleri,Ataturk Cad. No:45
Tekirdağ,"
Golden Yat Hotel
",Tekirdağ Otelleri,Ertuğrul Mah. Yali Cad. No:21 Süleymanpasa/Tekirdağ
Çorlu,"
Divan Çorlu
",Çorlu Otelleri,Kazımiye Mah. Salih Omurtak Cad. No:38
London Özel Konaklamalar,"
Sheltowee Camp
",London Kamp Alanları,124 London Dock Rd
Norris Özel Konaklamalar,"
The Cabin on Cedar Ridge
",Norris Kamp Alanları,169 Scruggs Cemetery Lane
Corbin Özel Konaklamalar,"
Corbin KOA
",Corbin Kamp Alanları,171 East City Dam Road
Erciş,"
Nevan Suite Hotel
",Erciş Otelleri,"Erciş Sahil Yolu, Erciş-Van"
Van,"
Madi Otel
",Van Otelleri,"Emin Paşa Mah. Edremit Yolu 5. Km. İskele, Van Merkez"
Van,"
Tekin Hotel
",Van Otelleri,Kucukcami Civari
Van,"
Akdamar Otel
",Van Otelleri,Kazım Karabekir Cad. No:9
Van,"
Royal Milano Hotel
",Van Otelleri,Vali Mithatbey Mah. Eski Deftardarlik Cad. No. 28
Van,"
Yakut Otel
",Van Otelleri,Kazım Karabekir Cad. Ptt Sok. No:8 Van Merkez
Van,"
Avalon Altes
",Van Otelleri,Bahcivan Mah Kazim Karabekir Bulv Muhacir Sok No 76
Van,"
Hotel Dosco
",Van Otelleri,Valimithatbey mah. Kocibey cad. no 22 Ipekyolu
Edremit,"
Merit Şahmaran Hotel
",Edremit Otelleri,Yeni Mah. Sahil Cad. No:60 Edremit Merkez
Van,"
Hotel Ilvan
",Van Otelleri,Kazım Karabekir Cad Türkoğlu
Van,"
Resmina Hotel
",Van Otelleri,Zubeyde Hanim Cad. No: 17
Van,"
Menua Hotel
",Van Otelleri,Serefiye mah. Zerbank sok. No:15/A
Van,"
Grand Hotel Van
",Van Otelleri,Irfan Bastug cad. Valilik Yani No:2
Van,"
Büyük Urartu Otel
",Van Otelleri,Cumhuriyet Cad. No:32 Van Merkez
Van,"
Büyük Asur Hotel
",Van Otelleri,Cumhuriyet Cad. Turizm Sok. No:5 Van Merkez
Van,"
Tamara Otel
",Van Otelleri,Bahçıvan Mah. Kazım Karabekir Cad. Yüzbaşıoğlu Sok. No:1 Van Merkez
Van,"
Mavi Tuana Hotel
",Van Otelleri,Bahcivan Mah. Zubeyde Hanim Cad No: 26
Van,"
Rescate Hotel
",Van Otelleri,Ipekyolu Cad. Suphan Mah. Edremit Yolu Uzeri 8 KM
Van,"
Elite World Van
",Van Otelleri,Bahcivan Mah. Kazimkarabekir Bulvari No: 67
Kahramanmaraş,"
Hotel Alcazar
",Kahramanmaraş Oda ve Kahvaltı / Pansiyon,Ismetpasa Mah. Trabzon Cad.Valilik Karsisi
Kahramanmaraş,"
Otel Blc
",Kahramanmaraş Otelleri,Isa Divanli Mahallesi Seyhadil Caddesi No:33/A
Kahramanmaraş,"
Büyük Maraş Oteli
",Kahramanmaraş Otelleri,Yenisehir Mah. Egemenlik Cad. No:7 Merkez
Elbistan,"
Sword Hotel
",Elbistan Otelleri,Gunesli Mah. Azerbaycan Cad
Kahramanmaraş,"
Arsan Hotel
",Kahramanmaraş Otelleri,"Mehmet Akif Mah. Güney Çevre Yolu Kale, Kahramanmaraş Merkez"
Kahramanmaraş,"
Hotel La Ville
",Kahramanmaraş Otelleri,Menderes Mah. Trabzon Cad. No: 82
Kahramanmaraş,"
Sular Hotel
",Kahramanmaraş Otelleri,Kurtulus Mah Seyadil Cd No:2
Kahramanmaraş,"
Otel Germanicia
",Kahramanmaraş Otelleri,Menderes Mahallesi Trabzon BulvarI No:137
Şanlıurfa,"
Hotel Ugur
",Şanlıurfa Oda ve Kahvaltı / Pansiyon,Koprubasi Cad. No:3
Şanlıurfa,"
Yildiz Sarayi Hotel
",Şanlıurfa Oda ve Kahvaltı / Pansiyon,Yildiz Meydani Divanyolu Cad. No:10
Kahta,"
New Kommagene Hotel
",Kahta Oda ve Kahvaltı / Pansiyon,Yavuz Selim Mahellesi M. Kemal Cad. No:3 Adiyaman
Şanlıurfa,"
TÜRKMEN KONAĞI
",Şanlıurfa Oda ve Kahvaltı / Pansiyon,Yeni Mah ( Madar )1272 sok no 26 Balikligol Sanliurfa
Şanlıurfa,"
Otel Güven
",Şanlıurfa Oda ve Kahvaltı / Pansiyon,Atatürk Bulvarı Sarayönü Caddesi No 78
Şanlıurfa,"
Hotel Gulpalas
",Şanlıurfa Oda ve Kahvaltı / Pansiyon,"Sarayönü cad 916,sok no3, ( Yusufpaşa Camii Yanı )"
Siverek,"
Celebi Hotel
",Siverek Oda ve Kahvaltı / Pansiyon,Hurriyet Caddesi No:2
Şanlıurfa,"
Cevahir Konuk Evi
",Şanlıurfa Oda ve Kahvaltı / Pansiyon,Buyukyol Cad. Selahaddin Eyyubi Camii Karsisi
Şanlıurfa,"
Aslan Konuk Evi
",Şanlıurfa Özel Konaklamalar,12 Eylul Cad. (Demokrasi Cad.) 1351 Sok. No:10
Şanlıurfa,"
Nevali Hotel
",Şanlıurfa Oda ve Kahvaltı / Pansiyon,Abide Kavsagi
Şanlıurfa,"
Manici Hotel
",Şanlıurfa Oda ve Kahvaltı / Pansiyon,"Bıçakçı Mah. Balıklı Göl Mevki Çarşı, Şanlıurfa Merkez"
Şanlıurfa,"
Hotel İstiklal
",Şanlıurfa Otelleri,"camikebir mahallesi Balikligol caddesi, no.16"
Harran,"
Bazda Motel
",Harran Otelleri,Kenan Evren Cad. Merkez
Siverek,"
Siverek Otel
",Siverek Otelleri,Camikebir Mah. Inonu Bulvari No: 27/1
Şanlıurfa,"
Asur Otel
",Şanlıurfa Otelleri,"Cumhuriyet Cad. No:167 Şanlıurfa Merkez, Şanlıurfa Merkez"
Şanlıurfa,"
Beyzade Konak
",Şanlıurfa Otelleri,Sarayönü Cad. Beyaz Sok. No:14
Şanlıurfa,"
Kilim Otel
",Şanlıurfa Otelleri,Atatürk Bulv. Şube Sok. No:6 Şanlıurfa Merkez
Şanlıurfa,"
Grand Urfa Hotel
",Şanlıurfa Otelleri,İpek Yolu Cad. No:48/A Şanlıurfa Merkez
Şanlıurfa,"
Hotel Rabis
",Şanlıurfa Otelleri,Sarayönü Cad. Şanlıurfa Merkez
Halfeti,"
Halfeti Sahin Hotel
",Halfeti Otelleri,Eski Halfeti
Şanlıurfa,"
Harran Hotel
",Şanlıurfa Otelleri,Atatürk Bulv. Şanlıurfa Merkez
Şanlıurfa,"
İpek Palas Otel
",Şanlıurfa Otelleri,Şanlıurfa Merkez
