sehir,isim,ilce,adres
Eskişehir,"
Rixos Eskişehir
",Eskişehir,"Dede Mahallesi, Haktanir Sokak.No:1- Bademlik Odunpazari"
Eskişehir,"
İbis Hotel
",Eskişehir,Hoşnudiye Mah. Siloönü Sok. No:5 Eskişehir Merkez
Erzurum,"
Dedeman Palandöken Ski Lodge
",Erzurum,Palandöken Kayak Merkezi İbrahim Polat Cad. Palandöken
Erzurum,"
Palan Otel
",Erzurum,"İbrahim Polat Cad. Palandöken, Palandöken"
Erzurum,"
Xanadu Snow White
",Erzurum,Palandoken Kayak Merkezi
Erzurum,"
Hotel Yesil Artvin
",Erzurum,Alipasa Mahallesi Ibrahim Hakki Caddesi No:2
Erzurum,"
Esadaş Otel
",Erzurum,Cumhuriyet Cad. No:7/A Erzurum Merkez
Erzurum,"
Kral Otel
",Erzurum,Erzincan Kapı Cad. No:18 Erzurum Merkez
Erzurum,"
Otel Amiller
",Erzurum,Kazım Karabekir Cad. No:27 Erzurum Merkez
Erzurum,"
Yeni Ornek Hotel
",Erzurum,Kazım Karabekir Cad. No 29
Erzurum,"
Otel Dilaver
",Erzurum,Aşağı Mumcu Cad. Pelit Meydanı No:59 Erzurum Merkez
Erzurum,"
Hekimoğlu Otel
",Erzurum,Gez Mah. Kazım Karabekir Cad. No:66 Erzurum Merkez
Erzurum,"
Rafo Hotel
",Erzurum,Asagi Mumcu Mah.Milletbahce Sok. No 25
Diyarbakır,"
Hotel Park Vadi
",Diyarbakır,Hotel Park Vadi Inönü Cad. No: 1 Dörtyol Dagkapi
Diyarbakır,"
Hotel Birkent
",Diyarbakır,Inonu Caddesi Nr. 26
Diyarbakır,"
Grand Guler Otel
",Diyarbakır,"13, Kibris Caddesi"
Diyarbakır,"
Hotel Kaya
",Diyarbakır,Inonu Cad. No: 2
Diyarbakır,"
Malabadi Otel
",Diyarbakır,Urfa Yolu 1. Km. Diyarbakır Merkez
Diyarbakır,"
Madi Hotel
",Diyarbakır,Dagkapi Dortyol Inonu Cad. No: 1
Diyarbakır,"
Diyarbakir Prestige Hotel
",Diyarbakır,Gevran Cad. No. 2 Ofis
