sehir,isim,ilce,adres
İstanbul Otelleri,"
Konak Hotel
",> Sisli,Cumhuriyet Caddesi 75
İstanbul Otelleri,"
Housez Suites and Apartments
",> Besiktas,Suleyman Seba Caddesi No 60
İstanbul Otelleri,"
Eyfel Otel
",> Grand Bazaar,Kurultay Sok. No:19
İstanbul Oda ve Kahvaltı / Pansiyon,"
Galata 1875 Suites
",> Beyoglu,"Hacımimi Mah. Lüleci Hendek Cad. No: 25, Beyoğlu"
İstanbul Otelleri,"
Diva's Hotel
",> Sultanahmet,Binbirdirek Mah.Katip Sinan Camii Sok No 31
İstanbul Otelleri,"
Turquhouse Boutique Hotel
",> Golden Horn,Merkez Mah. İdris Köşkü Cad. Eyüp Merkez
İstanbul Otelleri,"
Megara Palace Hotel
",> Sultanahmet,Ishakpasa Cad. 8
İstanbul Otelleri,"
Hotel İpek Palas
",> Sultanahmet,Orhaniye Cad. No:9 Sirkeci
İstanbul Otelleri,"
Karakoy Rooms
",> Karakoy,Kemankes Cad. Galata Sarap Iskelesi Sok. No:10
İstanbul Otelleri,"
Beylerbeyi Palace Boutique Hotel
",> Uskudar,Eski Cinar sok. No:2 Beylerbeyi Uskudar
İstanbul Otelleri,"
The Green Park Taksim
",> Beyoglu,Abdulhak Hamit Cad. No:34
İstanbul Otelleri,"
Eski Konak Otel
",> Sultanahmet,"Cankurtaran Mah. Akbıyık Cad. No:52 Sultanahmet, Fatih"
İstanbul Otelleri,"
Nippon Hotel
",> Beyoglu,Topcu Cad. No 6
İstanbul Otelleri,"
Galata Antique Hotel
",> Beyoglu,Mesrutiyet Street No:119
İstanbul Otelleri,"
Divalis Hotel
",> Sultanahmet,Sultanahmet Mah. Akbiyik Cad. No:76
İstanbul Otelleri,"
Mim Hotel Istanbul
",> Sisli,"Ferah Sokak No 20, Nisantasi"
İstanbul Otelleri,"
Istanbul Central Hotel
",> Grand Bazaar,Hobyar Mh. Cemal Nadir Sk.
İstanbul Oda ve Kahvaltı / Pansiyon,"
Otel Alaturka
",> Sultanahmet,"Akbıyık Cad. No:5 Sultanahmet, Fatih"
İstanbul Özel Konaklamalar,"
Manzara İstanbul
",> Beyoglu,Serdar-ı Ekrem Sok. No:14
İstanbul Otelleri,"
Pianoforte Hotel
",> Fener & Balat,"İskender Paşa Mah. Feyzullah Efendi Cad. No:17 Akdeniz, Fatih"
İstanbul Otelleri,"
Hotel İlkay
",> Sultanahmet,Hüdavendigar Cad. No:44-46
İstanbul Otelleri,"
Hotel Albatros Premier
",> Sultanahmet,"Küçük Ayasofya Mah. Çayıroğlu Sok. No 1 Sultanahmet, Fatih"
İstanbul Otelleri,"
Aren Suites
",> Sultanahmet,Kucukayasofya Caddesi Gelinlik Sokak No.13
İstanbul Otelleri,"
Taxim Suites
",> Beyoglu,Cumhuriyet Cad. No:31
